成交日期:106年04月07日  現股當沖交易標的
證券代號, 證券名稱,暫停現股賣出後現款買進當沖註記
"3299","帛漢            ","＊"
"3303","岱稜            ",""
"3306","鼎天            ",""
"3310","佳穎            ",""
"3313","斐成            ",""
"3317","尼克森          ",""
"3322","建舜電          ",""
"3323","加百裕          ",""
"3324","雙鴻            ","＊"
"3325","旭品            ",""
"3332","幸康            ",""
"3354","律勝            ",""
"3360","尚立            ",""
"3362","先進光          ",""
"3363","上詮            ",""
"3373","熱映            ",""
"3374","精材            ","＊"
"3379","彬台            ",""
"3388","崇越電          ",""
"3390","旭軟            ",""
"3402","漢科            ",""
"3428","光燿科          ",""
"3434","哲固            ","＊"
"3438","類比科          ",""
"3441","聯一光          ",""
"3444","利機            ",""
"3455","由田            ",""
"3466","致振            ",""
"3479","安勤            ",""
"3483","力致            ",""
"3484","崧騰            ",""
"3489","森寶            ",""
"3490","單井            ",""
"3491","昇達科          ",""
"3492","長盛            ",""
"3498","陽程            ",""
"3499","環天科          ",""
"3508","位速            ",""
"3511","矽瑪            ",""
"3512","能緹            ",""
"3516","亞帝歐          ",""
"3521","鴻翊            ",""
"3522","宏森            ",""
"3526","凡甲            ",""
"3527","聚積            ","＊"
"3529","力旺            ",""
"3531","先益            ",""
"3537","堡達            ",""
"3540","曜越            ",""
"3541","西柏            ",""
"3546","宇峻            ",""
"3548","兆利            ",""
"3551","世禾            ",""
"3552","同致            ",""
"3553","力積            ",""
"3555","重鳥鵬          ",""
"3556","禾瑞亞          ",""
"3558","神準            ","＊"
"3563","牧德            ",""
"3564","其陽            ",""
"3567","逸昌            ",""
"3577","泓格            ",""
"3580","友威科          ",""
"3581","博磊            ",""
"3587","閎康            ",""
"3594","磐儀            ",""
"3609","東林            ",""
"3611","鼎翰            ","＊"
"3615","安可            ",""
"3623","富晶通          ","＊"
"3624","光頡            ",""
"3625","西勝            ",""
"3628","盈正            ",""
"3630","新鉅科          ",""
"3631","晟楠            ",""
"3632","研勤            ",""
"3642","駿熠電          ",""
"3646","艾恩特          ",""
"3652","精聯            ",""
"3663","鑫科            ",""
"3664","安瑞-KY         ",""
"3666","光耀            ",""
"3672","康聯訊          ",""
"3675","德微            ",""
"3680","家登            ",""
"3685","元創精密        ","＊"
"3687","歐買尬          ",""
"3689","湧德            ",""
"3691","碩禾            ","＊"
"3693","營邦            ",""
"3707","漢磊            ",""
"4102","永日            ",""
"4103","百略            ",""
"4105","東洋            ",""
"4107","邦特            ",""
"4109","穆拉德加捷      ",""
"4111","濟生            ",""
"4113","聯上            ",""
"4114","健喬            ","＊"
"4120","友華            ","＊"
"4121","優盛            ",""
"4123","晟德            ",""
"4126","太醫            ",""
"4127","天良            ",""
"4129","聯合            ",""
"4130","健亞            ",""
"4138","曜亞            ",""
"4147","中裕            ",""
"4153","鈺緯            ",""
"4161","聿新科          ",""
"4162","智擎            ",""
"4163","鐿鈦            ",""
"4171","瑞基            ",""
"4173","久裕            ",""
"4174","浩鼎            ",""
"4175","杏一            ",""
"4180","安成藥          ","＊"
"4205","中華食          ",""
"4207","環泰            ",""
"4305","世坤            ",""
"4401","東隆興          ","＊"
"4406","新昕纖          ",""
"4416","三圓            ",""
"4417","金洲            ",""
"4420","光明            ",""
"4429","聚紡            ",""
"4430","耀億            ",""
"4432","銘旺實          ",""
"4433","興采            ","＊"
"4502","健信            ",""
"4506","崇友            ",""
"4510","高鋒            ",""
"4513","福裕            ",""
"4523","永彰            ",""
"4527","方土霖          ",""
"4528","江興鍛          ",""
"4529","昶洧            ",""
"4533","協易機          ",""
"4534","慶騰            ",""
"4535","至興            ",""
"4541","晟田            ",""
"4543","萬在            ",""
"4549","桓達            ",""
"4550","長佳            ",""
"4556","旭然            ",""
"4706","大恭            ",""
"4707","磐亞            ","＊"
"4711","永純            ",""
"4714","永捷            ","＊"
"4716","大立            ",""
"4721","美琪瑪          ",""
"4728","雙美            ",""
"4735","豪展            ",""
"4736","泰博            ",""
"4739","康普            ",""
"4745","合富-KY         ","＊"
"4747","強生            ",""
"4803","VHQ-KY          ",""
"4804","大略-KY         ",""
"4903","聯光通          ",""
"4905","台聯電          ",""
"4908","前鼎            ",""
"4909","新復興          ",""
"4933","友輝            ","＊"
"4939","亞電            ",""
"4944","兆遠            ",""
"4947","昂寶-KY         ",""
"4953","緯軟            ",""
"4966","譜瑞-KY         ",""
"4971","IET-KY          ",""
"4972","湯石照明        ",""
"4973","廣穎            ",""
"4974","亞泰            ","＊"
"4979","華星光          ",""
"4991","環宇-KY         ",""
"4995","晶達            ",""
"5009","榮剛            ",""
"5011","久陽            ",""
"5013","強新            ","＊"
"5014","建錩            ",""
"5015","華祺            ",""
"5016","松和            ","＊"
"5102","富強            ",""
"5201","凱衛            ",""
"5206","坤悅            ",""
"5210","寶碩            ",""
"5211","蒙恬            ",""
"5212","凌網            ","＊"
"5213","亞昕            ",""
"5230","雷笛克光學      ",""
"5245","智晶            ",""
"5251","天鉞電          ",""
"5255","美桀            ",""
"5263","智崴            ",""
"5272","笙科            ","＊"
"5274","信驊            ",""
"5281","大峽谷-KY       ",""
"5287","數字            ",""
"5289","宜鼎            ","＊"
"5291","邑昇            ",""
"5301","寶得利          ",""
"5302","太欣            ",""
"5306","桂盟            ",""
"5309","系統電          ",""
"5310","天剛            ",""
"5312","寶島科          ",""
"5315","光聯            ",""
"5317","凱美            ","＊"
"5321","友銓            ",""
"5328","華容            ",""
"5347","世界            ",""
"5349","先豐            ","＊"
"5353","台林            ","＊"
"5355","佳總            ",""
"5356","協益            ",""
"5371","中光電          ",""
"5384","捷元            ",""
"5386","青雲            ",""
"5392","應華            ",""
"5398","力瑋            ",""
"5403","中菲            ",""
"5410","國眾            ","＊"
"5425","台半            ",""
"5426","振發            ",""
"5432","達威            ","＊"
"5438","東友            ",""
"5439","高技            ",""
"5443","均豪            ",""
"5452","佶優            ",""
"5457","宣德            ",""
"5460","同協            ",""
"5464","霖宏            ",""
"5465","富驊            ",""
"5474","聰泰            ","＊"
"5478","智冠            ",""
"5480","統盟            ",""
"5481","華韡            ",""
"5483","中美晶          ",""
"5487","通泰            ",""
"5488","松普            ",""
"5489","彩富            ",""
"5490","同亨            ","＊"
"5491","連展            ",""
"5493","三聯            ",""
"5498","凱崴            ",""
"5508","永信建          ",""
"5511","德昌            ",""
"5512","力麒            ",""
"5514","三豐            ",""
"5516","雙喜            ",""
"5520","力泰            ",""
"5529","志嘉            ",""
"5530","龍巖            ",""
"5536","聖暉            ",""
"5603","陸海            ",""
"5604","中連貨          ",""
"5609","中菲行          ","＊"
"5703","亞都            ",""
"5704","老爺知          ",""
"5820","日盛金          ",""
"5903","全家            ",""
"5904","寶雅            ",""
"5905","南仁湖          ",""
"6015","宏遠證          ",""
"6016","康和證          ",""
"6020","大展證          ",""
"6021","大慶證          ",""
"6022","大眾證          ",""
"6023","元大期          ",""
"6024","群益期          ",""
"6026","福邦證          ",""
"6104","創惟            ",""
"6105","瑞傳            ",""
"6107","華美            ",""
"6109","亞元            ",""
"6111","大宇資          ",""
"6113","亞矽            ",""
"6114","久威            ",""
"6118","建達            ",""
"6121","新普            ",""
"6122","擎邦            ",""
"6123","上奇            ",""
"6124","業強            ",""
"6125","廣運            ",""
"6126","信音            ",""
"6127","九豪            ",""
"6129","普誠            ",""
"6138","茂達            ",""
"6140","訊達            ",""
"6143","振曜            ",""
"6146","耕興            ","＊"
"6147","頎邦            ",""
"6151","晉倫            ",""
"6154","順發            ","＊"
"6156","松上            ",""
"6158","禾昌            ",""
"6160","欣技            ",""
"6161","捷波            ",""
"6163","華電網          ",""
"6170","統振            ",""
"6171","亞銳士          ",""
"6173","信昌電          ",""
"6174","安碁            ",""
"6175","立敦            ",""
"6179","亞通            ",""
"6180","橘子            ","＊"
"6182","合晶            ",""
"6185","幃翔            ",""
"6186","新潤            ",""
"6187","萬潤            ",""
"6188","廣明            ",""
"6190","萬泰科          ",""
"6194","育富            ",""
"6195","詩肯            ",""
"6203","海韻電          ",""
"6204","艾華            ",""
"6207","雷科            ","＊"
"6208","日揚            ","＊"
"6210","慶生            ",""
"6212","理銘            ","＊"
"6217","中探針          ",""
"6218","豪勉            ",""
"6219","富旺            ",""
"6220","岳豐            ",""
"6221","晉泰            ",""
"6223","旺矽            ",""
"6227","茂綸            ",""
"6229","研通            ",""
"6231","系微            ",""
"6233","旺玖            ",""
"6234","高僑            ",""
"6237","驊訊            ",""
"6238","勝麗            ",""
"6240","松崗            ",""
"6244","茂迪            ",""
"6245","立端            ",""
"6248","沛波            ",""
"6261","久元            ",""
"6263","普萊德          ",""
"6265","方土昶          ",""
"6266","泰詠            ",""
"6270","倍微            ",""
"6274","台燿            ",""
"6275","元山            ",""
"6276","安鈦克          ",""
"6279","胡連            ",""
"6284","佳邦            ",""
"6290","良維            ",""
"6292","迅德            ",""
"6294","智基            ",""
"6298","崴強            ","＊"
"6404","通訊-KY         ",""
"6411","晶焱            ",""
"6417","韋僑            ",""
"6426","統新            ",""
"6432","今展科          ",""
"6435","大中            ",""
"6462","神盾            ",""
"6470","宇智            ","＊"
"6485","點序            ",""
"6486","互動            ",""
"6488","環球晶          ",""
"6496","科懋            ",""
"6506","雙邦            ",""
"6508","惠光            ",""
"6509","聚和            ",""
"6510","精測            ","＊"
"6523","達爾膚          ",""
"6532","瑞耘            ",""
"6542","隆中            ",""
"6548","長華科          ",""
"6554","中美冠科-KY     ",""
"6568","宏觀            ",""
"6569","醫揚            ",""
"6603","富強鑫          ",""
"6609","瀧澤科          ",""
"6803","崑鼎            ",""
"8024","佑華            ",""
"8027","鈦昇            ",""
"8032","光菱            ",""
"8038","長園科          ",""
"8042","金山電          ",""
"8043","蜜望實          ",""
"8044","網家            ",""
"8047","星雲            ",""
"8048","德勝            ",""
"8049","晶采            ",""
"8050","廣積            ",""
"8054","安國            ",""
"8059","凱碩            ",""
"8064","東捷            ",""
"8066","來思達          ",""
"8069","元太            ",""
"8071","能率豐          ",""
"8074","鉅橡            ",""
"8076","伍豐            ",""
"8083","瑞穎            ",""
"8086","宏捷科          ","＊"
"8088","品安            ",""
"8091","翔名            ","＊"
"8096","擎亞            ",""
"8097","常珵            ",""
"8099","大世科          ",""
"8107","大億科          ","＊"
"8109","博大            ","＊"
"8147","正淩            ",""
"8155","博智            ",""
"8171","天宇            ",""
"8176","智捷            ","＊"
"8182","加高            ",""
"8183","精星            ",""
"8234","新漢            ",""
"8240","華宏            ",""
"8255","朋程            ",""
"8277","商丞            ",""
"8287","英格爾          ",""
"8289","泰藝            ",""
"8299","群聯            ",""
"8349","恒耀            ",""
"8354","冠好            ",""
"8358","金居            ","＊"
"8383","千附            ","＊"
"8390","金益鼎          ",""
"8401","白紗科          ",""
"8403","盛弘            ",""
"8406","金可-KY         ",""
"8410","森田            ",""
"8415","大國鋼          ",""
"8418","捷必勝-KY       ",""
"8420","明揚            ",""
"8421","旭源            ","＊"
"8424","惠普            ",""
"8426","紅木-KY         ","＊"
"8431","匯鑽科          ",""
"8432","東生華          ",""
"8433","弘帆            ",""
"8435","鉅邁            ","＊"
"8436","大江            ",""
"8437","大地-KY         ",""
"8444","綠河-KY         ",""
"8446","華研            ",""
"8450","霹靂            ",""
"8462","柏文            ",""
"8905","裕國            ",""
"8908","欣雄            ",""
"8913","全銓            ",""
"8916","光隆            ",""
"8917","欣泰            ",""
"8923","時報            ",""
"8924","大田            ",""
"8928","鉅明            ",""
"8929","富堡            ",""
"8930","青鋼            ",""
"8931","大汽電          ",""
"8933","愛地雅          ",""
"8936","國統            ",""
"8937","合騏            ",""
"8938","明安            ",""
"8941","關中            ",""
"8942","森鉅            ",""
"9949","琉園            ",""
"9950","萬國通          ",""
"9951","皇田            ","＊"
"9960","邁達康          ",""
"9962","有益            ",""
共 561筆

